audio_file,tone,pinyin,label
tone_perfect/sa3_MV1_MP3.mp3,3,sa,sa3
tone_perfect/cao2_FV1_MP3.mp3,2,cao,cao2
tone_perfect/hong1_MV2_MP3.mp3,1,hong,hong1
tone_perfect/zheng3_MV3_MP3.mp3,3,zheng,zheng3
tone_perfect/shao4_MV1_MP3.mp3,4,shao,shao4
tone_perfect/ke4_MV3_MP3.mp3,4,ke,ke4
tone_perfect/kai4_MV2_MP3.mp3,4,kai,kai4
tone_perfect/ken4_FV3_MP3.mp3,4,ken,ken4
tone_perfect/chu3_FV1_MP3.mp3,3,chu,chu3
tone_perfect/nong4_FV1_MP3.mp3,4,nong,nong4
tone_perfect/tuo4_FV1_MP3.mp3,4,tuo,tuo4
tone_perfect/ao4_MV3_MP3.mp3,4,ao,ao4
tone_perfect/huai3_FV2_MP3.mp3,3,huai,huai3
tone_perfect/dang3_MV1_MP3.mp3,3,dang,dang3
tone_perfect/gei1_FV1_MP3.mp3,1,gei,gei1
tone_perfect/rang1_MV3_MP3.mp3,1,rang,rang1
tone_perfect/mu4_FV1_MP3.mp3,4,mu,mu4
tone_perfect/sheng2_MV2_MP3.mp3,2,sheng,sheng2
tone_perfect/liang1_MV1_MP3.mp3,1,liang,liang1
tone_perfect/diu1_MV1_MP3.mp3,1,diu,diu1
tone_perfect/tian2_MV3_MP3.mp3,2,tian,tian2
tone_perfect/ping3_MV3_MP3.mp3,3,ping,ping3
tone_perfect/gua4_FV2_MP3.mp3,4,gua,gua4
tone_perfect/dia2_FV1_MP3.mp3,2,dia,dia2
tone_perfect/chong1_FV2_MP3.mp3,1,chong,chong1
tone_perfect/fei1_MV1_MP3.mp3,1,fei,fei1
tone_perfect/seng1_FV3_MP3.mp3,1,seng,seng1
tone_perfect/pi4_FV3_MP3.mp3,4,pi,pi4
tone_perfect/eng1_FV2_MP3.mp3,1,eng,eng1
tone_perfect/cui3_FV3_MP3.mp3,3,cui,cui3
tone_perfect/rua3_MV2_MP3.mp3,3,rua,rua3
